# Time	forces(pressure, viscous) moment(pressure, viscous)
90	(((2.14513e-07 2.41768e-09 4.62121e-16) (1.58918e-07 -5.54511e-10 7.0001e-12)) ((3.89373e-13 -2.53366e-12 1.34143e-16) (-3.81154e-13 1.33334e-12 -1.13389e-10)))
91	(((2.14236e-07 2.39859e-09 4.52653e-16) (1.57304e-07 -5.43111e-10 6.57845e-12)) ((4.12908e-13 -2.55496e-12 1.33099e-16) (-3.89866e-13 1.31728e-12 -1.1159e-10)))
92	(((2.13933e-07 2.42755e-09 4.45206e-16) (1.5575e-07 -5.31133e-10 6.766e-12)) ((4.48137e-13 -2.53498e-12 1.32255e-16) (-3.89808e-13 1.295e-12 -1.09877e-10)))
93	(((2.13646e-07 2.40247e-09 4.5369e-16) (1.54251e-07 -5.19026e-10 7.08408e-12)) ((5.1353e-13 -2.53313e-12 1.31947e-16) (-3.77614e-13 1.28226e-12 -1.08256e-10)))
94	(((2.13327e-07 2.39342e-09 4.45717e-16) (1.52805e-07 -5.06998e-10 7.19487e-12)) ((5.91236e-13 -2.46743e-12 1.30198e-16) (-3.48869e-13 1.26312e-12 -1.06718e-10)))
95	(((2.12955e-07 2.41737e-09 4.39736e-16) (1.51413e-07 -4.94669e-10 6.48554e-12)) ((6.24955e-13 -2.46606e-12 1.28506e-16) (-3.23514e-13 1.26378e-12 -1.05256e-10)))
96	(((2.12658e-07 2.4464e-09 4.48621e-16) (1.50069e-07 -4.8168e-10 6.21888e-12)) ((6.08064e-13 -2.4485e-12 1.26038e-16) (-3.24149e-13 1.26433e-12 -1.03869e-10)))
97	(((2.12362e-07 2.48406e-09 4.5531e-16) (1.48773e-07 -4.6823e-10 6.07632e-12)) ((6.43185e-13 -2.4445e-12 1.23448e-16) (-3.18282e-13 1.2584e-12 -1.02523e-10)))
98	(((2.1211e-07 2.49969e-09 4.58311e-16) (1.47522e-07 -4.54608e-10 6.31132e-12)) ((7.23786e-13 -2.41079e-12 1.19948e-16) (-3.33442e-13 1.24065e-12 -1.01214e-10)))
99	(((2.11833e-07 2.48642e-09 4.46802e-16) (1.46314e-07 -4.4085e-10 6.09189e-12)) ((7.02883e-13 -2.41651e-12 1.17719e-16) (-3.14506e-13 1.23128e-12 -9.99525e-11)))
100	(((2.11469e-07 2.4712e-09 4.5105e-16) (1.45148e-07 -4.26835e-10 6.42265e-12)) ((6.71933e-13 -2.35159e-12 1.16596e-16) (-2.95021e-13 1.21299e-12 -9.8741e-11)))
101	(((2.11165e-07 2.44311e-09 4.49563e-16) (1.44022e-07 -4.13057e-10 6.37481e-12)) ((6.96999e-13 -2.35591e-12 1.14163e-16) (-2.86145e-13 1.20567e-12 -9.75749e-11)))
102	(((2.10871e-07 2.45127e-09 4.47081e-16) (1.42936e-07 -3.99286e-10 6.713e-12)) ((6.80331e-13 -2.29748e-12 1.13013e-16) (-2.83088e-13 1.18376e-12 -9.64616e-11)))
103	(((2.10606e-07 2.45936e-09 4.43561e-16) (1.41885e-07 -3.85852e-10 6.93462e-12)) ((6.96629e-13 -2.28889e-12 1.11266e-16) (-2.85212e-13 1.16987e-12 -9.53816e-11)))
104	(((2.10371e-07 2.45088e-09 4.37115e-16) (1.4087e-07 -3.72085e-10 7.28628e-12)) ((7.22149e-13 -2.22755e-12 1.09932e-16) (-2.86262e-13 1.14807e-12 -9.43636e-11)))
105	(((2.10038e-07 2.44447e-09 4.28283e-16) (1.39888e-07 -3.58843e-10 7.45795e-12)) ((7.3483e-13 -2.22514e-12 1.08422e-16) (-2.84797e-13 1.1369e-12 -9.33673e-11)))
106	(((2.09726e-07 2.45723e-09 4.18789e-16) (1.38939e-07 -3.45552e-10 7.6442e-12)) ((7.35781e-13 -2.20066e-12 1.07489e-16) (-2.79886e-13 1.12361e-12 -9.23837e-11)))
107	(((2.095e-07 2.45415e-09 4.07563e-16) (1.38022e-07 -3.32255e-10 7.7587e-12)) ((7.1917e-13 -2.18024e-12 1.06018e-16) (-2.74572e-13 1.11134e-12 -9.14194e-11)))
108	(((2.09231e-07 2.47288e-09 4.01829e-16) (1.37134e-07 -3.18758e-10 8.14134e-12)) ((7.37e-13 -2.1451e-12 1.05288e-16) (-2.78448e-13 1.09492e-12 -9.04725e-11)))
109	(((2.08922e-07 2.46714e-09 4.08016e-16) (1.36276e-07 -3.05575e-10 8.55398e-12)) ((7.41153e-13 -2.11021e-12 1.04371e-16) (-2.77726e-13 1.08502e-12 -8.95496e-11)))
110	(((2.08645e-07 2.44933e-09 3.98281e-16) (1.35445e-07 -2.92783e-10 8.56733e-12)) ((7.63897e-13 -2.07141e-12 1.03169e-16) (-2.79544e-13 1.07387e-12 -8.86508e-11)))
111	(((2.08373e-07 2.45185e-09 3.97845e-16) (1.34641e-07 -2.80549e-10 8.71212e-12)) ((7.65321e-13 -2.06164e-12 1.02128e-16) (-2.70561e-13 1.06351e-12 -8.77584e-11)))
112	(((2.08145e-07 2.4587e-09 3.98004e-16) (1.33863e-07 -2.68265e-10 9.04279e-12)) ((7.55772e-13 -2.01489e-12 1.01061e-16) (-2.58255e-13 1.04589e-12 -8.68798e-11)))
113	(((2.07907e-07 2.45193e-09 3.94403e-16) (1.3311e-07 -2.56154e-10 9.13056e-12)) ((7.3252e-13 -2.00011e-12 9.93524e-17) (-2.46781e-13 1.03338e-12 -8.60112e-11)))
114	(((2.07613e-07 2.44356e-09 3.98698e-16) (1.32381e-07 -2.44037e-10 9.43627e-12)) ((7.27405e-13 -1.94849e-12 9.84179e-17) (-2.35494e-13 1.0178e-12 -8.51624e-11)))
115	(((2.07332e-07 2.41549e-09 3.98825e-16) (1.31674e-07 -2.33015e-10 9.66875e-12)) ((7.71538e-13 -1.92534e-12 9.66978e-17) (-2.39672e-13 1.00697e-12 -8.43226e-11)))
116	(((2.07075e-07 2.42705e-09 3.89666e-16) (1.30991e-07 -2.22137e-10 9.8028e-12)) ((7.89218e-13 -1.87778e-12 9.64187e-17) (-2.42744e-13 9.89565e-13 -8.34914e-11)))
117	(((2.06863e-07 2.43843e-09 3.83467e-16) (1.30328e-07 -2.11251e-10 9.69592e-12)) ((7.66481e-13 -1.86348e-12 9.58665e-17) (-2.33388e-13 9.84955e-13 -8.26589e-11)))
118	(((2.06671e-07 2.43024e-09 3.78541e-16) (1.29684e-07 -2.00426e-10 9.85519e-12)) ((7.48331e-13 -1.83007e-12 9.45828e-17) (-2.27282e-13 9.71133e-13 -8.18369e-11)))
